MODEL,SCENARIO,REGION,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
IIASA GDP,SSP1_v9_130219,DJI,,,,,,,,,,,,,1900.2422818264176,2089.9589558696225,2122.228154053789,2228.495503249345,2474.9298392784685,2847.760639394231,3346.708250416203,3984.804461898084,4779.225059112841,5748.8775235205185,6913.360892270646,8296.648271291459,9901.171769109818,11689.040296234052,13635.010884584619,16007.896081338966,18719.846980659047,21545.423855276087,24202.65067409789,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,DNK,,,,,,,,,,,,,33627.7326121072,33756.24308616276,33962.61704989434,35036.121528231975,36724.600105656136,38881.874395617546,41364.99849974602,44084.36341590985,46925.75649993074,49893.29291325181,53041.736571230955,56443.06082987319,60096.25313556027,64012.911258546854,68248.59326393962,72763.58477299134,77567.98511008834,82723.87074418471,88186.58617906678,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,DOM,,,,,,,,,,,,,9682.70968608039,11833.964997646024,13491.192837547913,14858.973935651547,16523.996072606868,18481.265327934154,20677.918056409002,22988.788472876342,25277.3316317452,27436.30483873819,29422.93669717754,31226.156078322358,33105.52024790851,35282.11372042809,37861.66768638336,40819.088836679985,44088.58801435039,47690.12334383657,51520.80922889014,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,DZA,,,,,,,,,,,,,5853.443598071955,6467.356284553187,6953.138190367351,7840.909237905331,9180.244531136324,10915.534800619898,13006.543004346673,15344.570857405117,17798.30594767854,20230.634507555562,22547.683911785745,24687.114631511682,26653.942906234723,28482.550697875748,30223.19584489062,31989.101388327552,34007.17670891142,36451.18802774039,39432.02005750955,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,ECU,,,,,,,,,,,,,6216.7752754912835,7285.687812229003,8656.771375157463,10329.087096663994,12123.314364241223,13894.869650468343,15951.028374845113,18295.971410874798,20822.875486592395,23250.88011278175,25455.252983825318,27400.518232536393,29183.999604328324,30898.261724577616,32783.685376818554,35093.71965115018,37902.702290767105,41159.96833697236,44832.648685367574,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,EGY,,,,,,,,,,,,,4819.184842976977,5837.569208054022,6820.736466061133,7951.428480129202,9390.606849605661,11117.502927211892,13112.235183221832,15298.938312746177,17581.121931199876,19843.18964247916,22001.55233789786,24003.012839571362,25871.56858586832,27641.555858580683,29342.786446871345,30989.05968007752,32755.43172856306,34813.323011402186,37309.150444096835,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,ERI,,,,,,,,,,,,,637.1062305547056,663.7345259473299,943.4298392545016,1481.9314066931308,2183.884358750574,2954.4080145460584,3746.6909479995356,4592.628896977863,5574.616217084194,6742.375869854548,8120.019678700966,9702.440881435241,11452.832120131943,13326.037687776345,15349.282956803618,17873.33218007539,20830.336981413584,23980.094108453002,27003.390945406696,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,ESP,,,,,,,,,,,,,27778.57426200471,30638.461124863643,34960.910952372746,40520.23997797932,46314.756901122666,52064.56566178348,57532.62539037466,62743.59664527186,67804.24813913462,72912.09592314894,78027.99550127331,83101.18916439111,88001.9022194771,92664.60363520573,97265.82393193601,102149.6854878594,107407.79773848278,113147.4010139997,119383.34840618822,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,EST,,,,,,,,,,,,,15781.990689498538,18824.78501636901,20785.476667711846,23296.68983092367,25560.118355971597,27502.84201675011,29108.3350602136,30522.535454450237,31966.3587053054,33752.065548010105,36019.76534705359,38755.03610861269,41836.69124082769,45195.77920455269,48834.22369485553,52864.46725636612,57282.14394984836,61977.78581668196,67045.36629579213,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,ETH,,,,,,,,,,,,,703.3137852570976,982.4458249335463,1243.5093107105242,1430.2802497823002,1618.9660281034164,1876.359402854793,2224.2261737706604,2690.6556244571902,3284.995527718986,4030.869596795087,4951.112214707801,6067.80775653591,7391.7826802693135,9071.539511131334,11077.18950079515,13288.442055219,15517.930675897427,17670.700154448492,19716.18139802356,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,FIN,,,,,,,,,,,,,31499.17056800182,34293.042640202715,37057.43892911158,40654.22327983596,44419.881923956134,48171.440943312045,51838.13841146684,55407.625720929456,58876.05743761296,62322.18017003528,65900.92781013038,69731.4572698017,73881.55613291908,78273.0564504233,82900.79629899873,87761.9447441133,92979.57547632146,98542.82436454477,104439.30986587737,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,FJI,,,,,,,,,,,,,4320.6242325409385,5058.864711503503,6632.50554800306,9046.849983677752,11609.926518233255,14068.918378351205,16294.661112339181,18369.23420269358,20361.014057404896,22529.315840070027,25344.350691816813,28647.866447686385,32125.303016824724,35644.168725745956,39405.65423529919,43612.17972970514,48348.764008283804,53606.921666526054,59290.81792788732,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,FRA,,,,,,,,,,,,,31639.74821003368,33467.04505089035,38128.98152388465,44587.83929690811,51519.737298284876,58396.79340160576,64937.45172769593,71121.45763350681,77023.13955430208,82709.13950303607,88251.27370672794,93889.49252541417,99572.1289935455,105350.26417119871,111408.14384767516,118035.1810044093,125102.5427712164,132520.18152331465,140367.96042357307,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GAB,,,,,,,,,,,,,10341.342206842368,10296.700577137715,10626.814321660291,11358.524490586546,12544.161834096114,14083.568658014214,15894.814158836161,17881.318137886035,20032.64008959557,22626.289567469714,25578.56587568786,28675.667548345373,31666.705691968087,34646.968040727545,37877.053079841106,41543.986196666134,45703.51210413853,50306.33101826276,55262.96578690902,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GBR,,,,,,,,,,,,,33388.87589869089,36474.825020213204,41694.2317488626,49238.63546540217,57446.130866124055,65637.69937495254,73377.91825878891,80575.20953672171,87315.487260356,93835.11721451691,100387.03582932793,107091.17041330492,113876.17261977165,120858.94266935912,128088.77821513332,135762.6926313801,143977.3592666143,152583.5278396057,161653.51590877154,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GEO,,,,,,,,,,,,,5370.181334775162,8745.547675499045,15512.605151785163,23948.060930896892,29897.951377776913,32056.44013725479,32440.707116680634,32872.69373598021,34178.14601140867,36444.62030086767,39467.44773195769,42948.00968440419,46721.35332636595,50778.46128774028,55135.1252076461,59769.98916429869,64736.48086709592,69863.57672714327,75083.86775009311,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GHA,,,,,,,,,,,,,1215.1809656611556,1459.10690225287,1707.1317084832217,2025.0084175215366,2485.523793586309,3110.179908608634,3942.6393862930395,5009.428073706529,6308.968992624047,7800.260242119478,9429.350334089086,11141.050684743188,12913.243217954192,14729.18591061278,16579.696694731527,18455.479927157005,20347.599270559134,22243.65893206735,24127.819906626755,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GIN,,,,,,,,,,,,,829.0711199294407,891.2537905316971,1012.8130501754988,1235.2446478536817,1568.809090374065,2040.2738289363751,2682.719506375771,3521.767283192316,4567.325540362298,5800.291650641779,7188.903387788561,8685.1520972299,10284.119705819136,11984.019032695329,13779.376626553523,15655.70712569365,17595.77600517507,19578.831269242866,21587.48405432556,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GMB,,,,,,,,,,,,,1451.2834265602323,2004.6250143944385,2560.5351907219397,3153.903935499092,3856.346068973575,4613.351050212006,5485.904774620641,6532.674843108238,7806.2596152411315,9284.713583777944,10915.501597887696,12619.952326911798,14361.062093083776,16109.548560786056,17845.568786458352,19556.620463673742,21238.395666580724,22885.756065863647,24493.026115251945,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GNB,,,,,,,,,,,,,827.6624648517342,1073.815789340738,1274.0735660864582,1553.7076331341977,1900.9142306189763,2354.3181959611275,2910.9699916673617,3602.0151871406742,4475.166611164462,5583.7754400134,6954.401092948377,8581.017826754402,10444.26311508244,12503.625136242095,14710.572544141123,17016.011757813292,19385.751031266118,21793.856472239713,24226.482925620487,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GNQ,,,,,,,,,,,,,19890.09989041479,23921.925691919747,24782.797853751134,25276.75916766979,26269.40759676088,28188.80149791835,30953.81573984139,34227.04091912232,37667.03871423554,41208.46956805808,44885.75942342106,48749.96775750166,52834.90568654154,57124.32610321167,61625.42460449183,66334.8014803982,71282.21037250107,76498.16924129202,81970.88749148499,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GRC,,,,,,,,,,,,,25808.3891585085,30293.328125322445,34261.75275810876,39633.8898046751,46038.16875117499,52809.49232171997,59539.19587817173,66028.57436155413,72228.43040565298,78200.47126218371,83965.86770923356,89566.19527557542,95111.28578193125,100560.29698573268,106027.0110149738,111846.50750558719,118146.38637155715,124950.48350669541,132288.56334693934,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GTM,,,,,,,,,,,,,5802.2678194698565,7251.03086969115,8627.695328046351,10159.853127005777,11796.140204054173,13523.026131947337,15381.478988863048,17370.029537732957,19548.91463108141,21819.39140181352,24369.79952075922,27093.50625605539,29910.27347230401,32688.142965284107,35676.442764214866,39089.26334861377,43033.111973546555,47456.47688225321,52294.9156647083,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,GUY,,,,,,,,,,,,,4327.819988270362,4856.04274080311,5420.125405642078,6159.127809527835,7216.813772075635,8567.633122365225,10177.47792735537,11966.914160907609,13908.925245036315,15922.762987809914,17951.524359728202,19925.894711655532,21901.175656429376,23921.940194958046,25994.24373444447,28107.08312278728,30252.50237376564,32481.68060732607,34965.26457449388,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,HKG,,,,,,,,,,,,,36303.038802990326,39241.4778708597,41145.61909679608,43113.471756595514,46105.412112547565,50044.34516773815,54540.89166263733,59145.01603969889,63592.24602463805,67792.81391563157,71760.2809170292,75717.26529434942,79508.2911973298,83221.8702115976,87004.56741648942,91108.01035907213,95384.80863012768,99784.03411260946,104339.13570376598,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,HND,,,,,,,,,,,,,3718.4643130438053,4243.0014369222035,5066.174579889441,6048.665371884088,7166.171673728327,8407.57525064949,9798.421717980182,11328.339837456244,13059.082553817036,14943.96500489308,16910.464631330935,19254.630199283758,21920.328980394686,24718.211359603032,27372.21831938203,29803.504816307497,32050.881957944042,34477.68962473311,37316.85613879236,,,,,,,,,,
